kachestvo,kollection,plotnost_po_utku,pletenie,berdo
JN,MADONNA,240,1/2,320
MA,PALERMO,600,1/2,480
LZ,ENIGMA,1200,1/2,1200
LY,TORONTO,180,1/2,160
MC,VEZIR,500,1/2,480
AJ,NASTALJI,440,1/2,400
BA,TROYA,750,1/1,480
MD,SAPFIR,380,1/2,320
DG,AFSONA,420,1/2,400
GX,NOSTALJI PLY,320,1/2,320
MB,MOVAROUNNAHR,1500,1/2,1500
MF,TEXNO,650,1/2,400
MG,FABIA ,860,1/2,700
ME,AMELIYA ,750,1/2,480
MK,VENA,500,,400
ML,NASAF,860,,700
MI,OSLO,600,,400
MJ,NOVA,240,,320
MH,NASTALJI NEW,320,1/2,320
TC,COSMOS,,,
TE,ECLIPSE32,,,
TA,KUBA,,,
TL,LOOP,,,
TM,MARVARID,,,
TP,POLO,,,
TR,RUBIN,,,
TS,SAN MARINO,,,
TT,TRAFALGAR,,,
TB,BROOKLYN,,,
MM,ATOM,550,1/2,320
MO,ELIO,320,,320
MN,PARADISE,1500,1/2,1500
MQ,MERLIN,700,,700
MR,DELI,250,,320
MP,QUEEN,1000,1/2,700
MT,ALLIANCE,320,1/2,320
MU,MADONNA,240,1/2,320
MS,DIOR,550,1/2,320
MV,ALLIANCE ,550,1/2,320
MW,ARMADA,620,1/2,700
MY,ZILLI.,650,1/2,400
NB,DIADORA.,440,1/2,400
NA,IMPERIAL.,440,1/2,400
MZ,NOVA.,240,1/2,320
NC,DINARA.,440,1/2,400
MX,KOHINUR,1200,1/2,1200
NE,VENA.,500,1/2,400
CT,ALLADIN,440,1/2,400
ND,OKTAVIA,500,1/2,480
NF,TEXNO.,650,1/2,400
NG,KVANT,550,1/2,320
NH,TEBRIZ.,650,1/2,400
NK,IRANI,750,1/2,480
MX,ANATOLIAN SILK,1200,1/2,1200
NI,PERA,750,1/2,480
NJ,VERA,440,1/2,400
NM,PRADA CLASSIC,280,1/2,320
NO,JOYNAMOZ,500,1/2,400
NN,GULISTON,700,1/1,480
NL,ADRINA,1500,1/2,1500
NP,ROYAL,1500,1/2,1500
NQ,ROLEX,1200,1/2,1200
NR,ETERNA,1200,1/2,1200
NT,GUSTO,1000,1/2,1000
NU,VOGUE,1000,1/2,1000
NS,ARIAN,1000,1/2,700
