data,zavod,stanok,pikseli
2024-10-01 00:00:00,ANTP,T13,3993421
2024-10-01 00:00:00,ANTP,T14,2626546
2024-10-01 00:00:00,ANTP,T15,3120071
2024-10-01 00:00:00,ANTP,T16,3214991
2024-10-01 00:00:00,ANTP,T17,3382511
2024-10-01 00:00:00,ANTP,T18,2734706
2024-10-01 00:00:00,ANTP,T19,4596544
2024-10-01 00:00:00,ANTP,T20,3165777
2024-10-01 00:00:00,ANTP,T21,3580400
2024-10-01 00:00:00,ANTP,T22,4432735
2024-10-01 00:00:00,ANTP,T23,4698711
2024-10-01 00:00:00,ANTP,T24,1178254
2024-10-01 00:00:00,ANTP,T25,704467
2024-10-01 00:00:00,ANTP,T26,1234264
2024-10-01 00:00:00,ANTP,T27,1459480
2024-10-01 00:00:00,ANTP,T28,4473242
2024-10-01 00:00:00,ANTP,T29,1320890
2024-10-01 00:00:00,ANTP,T30,2351796
2024-10-01 00:00:00,ANTP,T31,4293969
2024-10-01 00:00:00,ANTP,T32,3553050
2024-10-01 00:00:00,ANTP,T33,3356558
2024-10-01 00:00:00,ANTP,T34,1607564
2024-10-01 00:00:00,ANTP,T35,2744765
2024-10-01 00:00:00,XIVA,T01,2786941
2024-10-01 00:00:00,XIVA,T02,2081406
2024-10-01 00:00:00,XIVA,T03,3209573
2024-10-01 00:00:00,XIVA,T04,2618077
2024-10-01 00:00:00,XIVA,T05,2576113
2024-10-01 00:00:00,XIVA,T06,3177470
2024-10-01 00:00:00,XIVA,T07,1643594
2024-10-01 00:00:00,XIVA,T08,3615428
2024-10-01 00:00:00,XIVA,T09,3836849
2024-10-01 00:00:00,XIVA,T10,4382480
2024-10-01 00:00:00,XIVA,T11,2743368
2024-10-01 00:00:00,XIVA,T12,4826529
2024-10-01 00:00:00,XIVA,T13,2171396
2024-10-01 00:00:00,XIVA,T14,2751743
2024-10-01 00:00:00,XIVA,T15,4952961
2024-10-01 00:00:00,XIVA,T16,4483060
2024-10-01 00:00:00,XIVA,T17,4419962
2024-10-01 00:00:00,XIVA,T18,3589016
2024-10-01 00:00:00,XIVA,T19,4106721
2024-11-01 00:00:00,ANTP,T01,4714946
2024-11-01 00:00:00,ANTP,T02,4387950
2024-11-01 00:00:00,ANTP,T03,3120901
2024-11-01 00:00:00,ANTP,T04,2277717
2024-11-01 00:00:00,ANTP,T05,4036150
2024-11-01 00:00:00,ANTP,T06,3987006
2024-11-01 00:00:00,ANTP,T07,2533344
2024-11-01 00:00:00,ANTP,T08,4046559
2024-11-01 00:00:00,ANTP,T09,4463445
2024-11-01 00:00:00,ANTP,T10,3745914
2024-11-01 00:00:00,ANTP,T11,3784566
2024-11-01 00:00:00,ANTP,T12,3597904
2024-11-01 00:00:00,ANTP,T13,3992904
2024-11-01 00:00:00,ANTP,T14,2749591
2024-11-01 00:00:00,ANTP,T15,3674249
2024-11-01 00:00:00,ANTP,T16,3686338
2024-11-01 00:00:00,ANTP,T17,3550499
2024-11-01 00:00:00,ANTP,T18,2709417
2024-11-01 00:00:00,ANTP,T19,4431719
2024-11-01 00:00:00,ANTP,T20,3262659
